Location,Size (sq ft),Bedrooms,Bathrooms,Price
Downtown,790,3,3,754434.2830602246
Downtown,3399,2,4,867184.7139765763
Countryside,3084,3,2,457153.77076201385
Suburbs,741,5,3,562510.5971281605
Suburbs,1437,4,4,557166.9325055333
Suburbs,776,3,1,459117.2608610164
Downtown,628,1,3,727984.2563101478
Industrial Area,1853,1,2,307998.6945830582
Downtown,790,4,3,755110.512281301
Industrial Area,2605,3,3,396101.2008717193
Beachfront,1474,1,3,929431.6461437508
Downtown,1640,1,1,707685.4049285948
Downtown,3240,3,2,856839.2454313206
Downtown,2488,2,2,756134.395106844
Suburbs,1377,3,2,474351.6433497394
Suburbs,2708,2,4,574154.2494151805
Industrial Area,1041,4,2,291793.37759331154
Industrial Area,3462,5,2,459384.9466519055
Downtown,2838,4,1,818739.5184895758
Industrial Area,2860,5,4,424753.9259732942
Suburbs,2436,1,4,581112.975378431
Industrial Area,1495,1,3,285234.4739902693
Beachfront,3713,1,4,1067000.5640937586
Suburbs,2437,2,4,543355.0362757308
Beachfront,3807,5,1,1094462.3455094963
Industrial Area,2167,1,2,310568.4517941973
Countryside,1279,3,4,360930.12845155393
Downtown,886,5,4,811813.9603669135
Suburbs,897,5,1,497837.2262016239
Beachfront,3199,2,4,1054116.1250041344
Countryside,2265,4,4,441215.86775541207
Countryside,1951,2,1,389595.56369017874
Suburbs,2234,1,3,526430.0555052413
Suburbs,2183,3,3,542995.781420882
Countryside,2412,3,4,457050.89824206376
Downtown,3486,1,4,829883.1270005796
Downtown,721,3,2,730227.2719000952
Beachfront,3258,2,4,1023706.5975224045
Downtown,3176,2,2,802236.2790220313
Countryside,3146,1,3,426237.22471738246
Countryside,903,3,4,379919.3315999082
Industrial Area,748,5,4,350827.3656237994
Countryside,2149,4,1,400137.0343522352
Downtown,3482,5,4,928077.9260882143
Beachfront,1889,2,3,949879.5601926515
Industrial Area,3779,2,4,424553.1158321058
Downtown,947,2,2,708137.2245808042
Beachfront,1518,2,4,997042.4445243783
Downtown,1284,4,2,781072.3657913692
Industrial Area,1279,1,1,213689.19689274533
Countryside,2696,2,4,441281.6793878959
Industrial Area,2337,3,1,334148.3543916737
Countryside,1074,4,1,335161.5599938808
Industrial Area,2228,2,4,373633.52577681735
Suburbs,1251,3,2,523169.990449919
Downtown,1640,2,4,800625.6023823239
Downtown,2394,1,2,752915.6495355472
Suburbs,1523,4,1,514965.7524829757
Countryside,808,1,3,312025.2686280713
Downtown,2315,4,4,875260.9025424472
Suburbs,3809,2,3,615866.5152430942
Downtown,2754,2,2,803986.8204667236
Beachfront,901,4,4,962923.3005198794
Countryside,707,3,3,316425.86751838657
Beachfront,3171,3,3,1079800.516447884
Countryside,2714,2,4,462824.80057141645
Suburbs,3924,2,3,629759.7975683933
Countryside,560,1,4,328070.6579578405
Countryside,882,2,3,336332.7205009527
Suburbs,3586,4,1,611397.6049078975
Countryside,3976,3,4,526027.9121101683
Downtown,1468,3,1,779160.7313293194
Industrial Area,1181,1,1,243333.47921780098
Suburbs,2164,3,3,594492.8731162801
Industrial Area,2489,3,2,312055.09791820514
Suburbs,2471,5,1,604988.0500875044
Suburbs,1375,4,1,515490.9413647634
Beachfront,2142,5,1,1016119.8529906827
Beachfront,740,3,2,928835.2155307101
Countryside,1174,1,2,268948.62170798215
Industrial Area,2052,1,1,283206.56224324973
Suburbs,508,3,2,472542.25143023493
Countryside,2099,2,2,404507.88089483033
Downtown,1586,5,2,798934.595634527
Suburbs,3711,3,4,639380.1279421363
Downtown,3715,1,1,810714.8591283093
Countryside,2363,1,2,386458.0423540415
Beachfront,1668,5,4,1049975.0221931937
Countryside,2232,4,3,426004.79592465924
Downtown,3353,3,3,882915.3486622671
Suburbs,3492,3,2,616541.5509869608
Industrial Area,3708,4,1,449772.8998106578
Countryside,2776,5,2,454758.93812245294
Suburbs,3211,5,3,648996.7570680446
Beachfront,3442,1,1,999257.8369373569
Beachfront,2493,4,1,990379.7010373577
Beachfront,1134,5,3,1007622.4055412916
Suburbs,1277,2,4,519071.1054435978
Countryside,1715,3,4,405852.26913284924
Suburbs,1391,1,2,464858.25733249704
Suburbs,739,4,1,453642.58515899174
Industrial Area,2872,1,2,335187.09354469285
Industrial Area,3513,5,1,433795.7096694646
Countryside,2720,5,3,464954.45461556764
Industrial Area,749,2,1,239224.28576667982
Beachfront,3563,3,1,1061231.0171362907
Industrial Area,1784,4,3,401923.7180242106
Beachfront,734,1,4,920191.5562566367
Countryside,705,3,3,345401.0078144553
Suburbs,2892,5,1,608111.0816846767
Suburbs,2452,3,3,539224.5756940192
Industrial Area,2559,1,1,312419.7224910157
Beachfront,3992,3,4,1120804.6041988204
Downtown,2675,5,4,943014.8422497057
Downtown,1144,3,1,728352.7807043776
Downtown,732,4,4,782630.9468466722
Suburbs,2580,3,3,583305.7646058952
Suburbs,828,4,4,508026.43924760935
Beachfront,3987,3,2,1112206.4562903005
Industrial Area,1261,5,4,388088.6606537355
Downtown,780,2,2,724820.638940861
Beachfront,2937,2,3,1013662.2509041053
Beachfront,778,4,4,1006955.886218722
Industrial Area,3265,4,4,425212.9787441544
Beachfront,1463,2,4,984887.1418760055
Industrial Area,2153,5,3,446459.1125161996
Countryside,991,5,3,374739.27349738625
Industrial Area,2833,3,2,370324.04540794453
Downtown,1508,4,1,772393.0273017528
Downtown,2871,5,3,878480.486917676
Industrial Area,2935,1,4,345736.73137867736
Countryside,662,3,2,324471.25949612056
Countryside,3036,3,4,450553.9257254779
Downtown,835,2,4,751221.8486127036
Countryside,2217,4,3,417461.51531532395
Beachfront,3192,5,1,1105598.6881003508
Suburbs,2890,5,4,638834.9341532752
Beachfront,2815,3,3,1039308.7696758865
Downtown,2641,4,2,858320.3443473934
Countryside,1795,4,4,405132.7136713209
Industrial Area,1568,4,2,342949.1986920826
Suburbs,1336,2,3,527942.8550856486
Industrial Area,3243,5,3,425000.3353087754
Downtown,3433,4,3,900342.677170646
Countryside,1786,2,3,379497.65588496847
Industrial Area,1477,1,3,304486.4574355462
Industrial Area,1587,3,1,279610.98578243837
Suburbs,2121,5,2,559640.8677383144
Suburbs,1036,5,1,527238.831312338
Countryside,3251,3,2,458489.6934646637
Suburbs,3143,1,4,592159.8570069175
Industrial Area,1728,2,4,343328.9641899395
Industrial Area,2372,3,2,344999.5055684302
Downtown,1795,2,4,794395.0739432201
Industrial Area,3579,2,4,434811.44946597365
Countryside,797,2,4,325562.97163947264
Beachfront,538,1,1,899215.4902228952
Downtown,2377,1,1,763326.6584182357
Downtown,3044,2,3,813373.930055947
Countryside,2806,4,2,463431.0721726766
Countryside,909,5,4,385956.3665954536
Suburbs,800,1,2,455741.69207484904
Downtown,2702,4,3,883271.911580148
Suburbs,1373,4,3,527236.3536329658
Industrial Area,2572,5,4,457867.5225848864
Downtown,1586,2,3,772555.61853873
Downtown,1042,4,4,808541.2031998897
Beachfront,1929,4,3,1059385.859653079
Downtown,781,4,3,759142.2376799426
Industrial Area,1500,2,4,309925.2767128502
Suburbs,2013,2,3,517859.71140748955
Suburbs,1667,1,3,482033.7943006912
Beachfront,1146,1,3,920757.9658117179
Industrial Area,2294,4,2,381523.0394963329
Suburbs,3915,2,1,606283.8159866004
Countryside,2725,2,2,422793.6649807205
Industrial Area,3381,5,3,464310.03783755813
Industrial Area,1739,4,1,361020.6815431463
Beachfront,3005,1,2,994956.8633352409
Suburbs,3805,5,2,724653.3833317924
Industrial Area,3178,2,2,391413.34695530013
Suburbs,2666,1,4,546156.8488716744
Countryside,532,4,3,330182.15003877773
Beachfront,3235,2,3,1056399.4483048636
Countryside,3846,4,1,482830.744293483
Beachfront,2771,5,2,1082830.009881842
Industrial Area,1726,5,3,390764.7524914709
Beachfront,3217,5,2,1089393.4217468626
Downtown,924,3,3,734264.1256386319
Suburbs,1050,4,2,482203.0555062827
Suburbs,1583,5,3,565219.7009586595
Downtown,972,5,1,780727.9758864695
Countryside,938,4,2,361181.87488260405
Downtown,3540,5,3,897085.2244257602
Industrial Area,2766,4,1,386763.6185170236
Industrial Area,1136,2,1,269506.3475945767
Suburbs,1615,4,3,538072.8512759773
Industrial Area,1654,4,2,345774.50211891055
Suburbs,2977,3,4,620014.17436892
Downtown,1362,2,1,700240.5940433876
